#F f0_CromerMann.dat  
#UT Parametrization of f0 (the non-dispersive part of the atomic scattering factor) vs sin(theta/lambda).
#UIDL xf0
#U3W Sheet_f0
#C This file has been created using f0_CromerMann.tcl on 
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/expg/subgroups/theory/DABAX/dabax.html
#UD  Parametrization of f0 (the non-dispersive part of the atomic scattering factor) vs sin(theta/lambda).
#UD 
#UD  fo, the non-dispersive part of the atomic scattering factor, is a
#UD  function of the selected element and of sin(theta)/lambda, where
#UD  lambda is the photon wavelengh and theta is incident angle.
#UD  This function can be approximated by a function:
#UD 
#UD    f0[k] = c + [SUM a_i*EXP(-b_i*(k^2)) ]
#UD                i=1,4
#UD 
#UD  where k = sin(theta) / lambda and c, a_i and b_i
#UD  are the so called Cromer-Mann coefficients (see International
#UD  Tables vol. 4 or vol C; in vol. C refer to pg 500-502) and 
#UD  tabulated in this file (in columns) :  a1 a2 a3 a4 c b1 b2 b3 b4		
#UD  Note, this is only good out to sin(theta)/lambda < 2.0 [Angstrom^-1].
#UD  (For a valid parametrization when sin(theta)/lambda > 2.0 see the DABAX
#UD  file f0_WaasKirf.dat). 
#UD  After that, there is another functional fit which can be found on page
#UD  487 (eq 6.1.1.16) in vol C.
#UD  The coeffients for the k <  2.0 case are stored in the file
#UD  f0_CromerMann.txt.
#UD 
#UD  The f0_CromerMann table has been created by using a program of John 
#UD  Quintana (jpq@radish.dnd.nwu.edu) which reads in a block of the program
#UD  Lazy-pulverix.
#UD  The International Tables has 212 atoms in its list.  Lazy-pulverix
#UD  has 214 including a dummy at the end (i.e. 214) and O2- which isn't
#UD  included in the International Tables. (no. 213).
#UD  Lazy-Pulverix is  a programme to calculate theoretical x-ray and
#UD  neutrondiffraction powder patterns from Klaus Yvon, Wolfgang Jeitschko
#UD  and  Erwin Parthe from the
#UD
#UD         LABORATOIRE DE CRISTALLOGRAPHIE AUX RAYONS-X
#UD         UNIVERSITE DE GENEVE
#UD         24 QUAI ERNEST ANSERMET
#UD         CH 1211 GENEVA 4  SWITZERLAND
#UD         TELEPHONE    (022) 21 93 55 
#UD
#UD Modifications:
#UD 98/10/09 Bug fixed: the symbols SS were PP exchanged. 
#UD          Pointed out by Daniel Luebbert.
#UD 
#UD      
#S 1 H   
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
0.4930020   0.3229120   0.1401910   4.0810000E-02   3.0380001E-03  10.51090   26.12570   3.142360  57.79970
20.32350   19.81860   12.12330   0.1445830   1.591800  2.659410   0.2188500   15.79920  62.23550
#S 59 Pr  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
22.04400   19.66970   12.38560   2.824280   2.058300  2.773930   0.2220870   16.76690  143.6440
#S 59 Pr3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
21.37270   19.74910   12.13290   0.9751800   1.771320  2.645200   0.2142990   15.32300  36.40650
#S 59 Pr4+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
20.94130   20.05390   12.46680   0.2966890   1.242850  2.544670   0.2024810   14.81370  45.46430
#S 60 Nd  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
22.68450   19.68470   12.77400   2.851370   1.984860  2.662480   0.2106280   15.88500  137.9030
#S 60 Nd3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
21.96100   19.93390   12.12000   1.510310   1.475880  2.527220   0.1992370   14.17830  30.87170
#S 61 Pm  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
23.34050   19.60950   13.12350   2.875160   2.028760  2.562700   0.2020880   15.10090  132.7210
#S 61 Pm3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
22.55270   20.11080   12.06710   2.074920   1.194990  2.417400   0.1857690   13.12750  27.44910
#S 62 Sm  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
24.00420   19.42580   13.43960   2.896040   2.209630  2.472740   0.1964510   14.39960  128.0070
#S 62 Sm3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
23.15040   20.25990   11.92020   2.714880   0.9545860  2.316410   0.1740810   12.15710  24.82420
#S 63 Eu  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
24.62740   19.08860   13.76030   2.922700   2.574500  2.387900   0.1942000   13.75460  123.1740
#S 63 Eu2+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
24.00630   19.95040   11.80340   3.872430   1.363890  2.277830   0.1735300   11.60960  26.51560
#S 63 Eu3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
23.74970   20.37450   11.85090   3.265030   0.7593440  2.222580   0.1639400   11.31100  22.99660
#S 64 Gd  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
25.07090   19.07980   13.85180   3.545450   2.419600  2.253410   0.1819510   12.93310  101.3980
#S 64 Gd3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
24.34660   20.42080   11.87080   3.714900   0.6450890  2.135530   0.1555250   10.57820  21.70290
#S 65 Tb  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
25.89760   18.21850   14.31670   2.953540   3.583240  2.242560   0.1961430   12.66480  115.3620
#S 65 Tb3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
24.95590   20.32710   12.24710   3.773000   0.6919670  2.056010   0.1495250   10.04990  21.27730
#S 66 Dy  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
26.50700   17.63830   14.55960   2.965770   4.297280  2.180200   0.2021720   12.18990  111.8740
#S 66 Dy3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
25.53950   20.28610   11.98120   4.500730   0.6896900  1.980400   0.1433840   9.349720  19.58100
#S 67 Ho  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
26.90490   17.29400   14.55830   3.638370   4.567960  2.070510   0.1979400   11.44070  92.65660
#S 67 Ho3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
26.12960   20.09940   11.97880   4.936760   0.8527950  1.910720   0.1393580   8.800180  18.59080
#S 68 Er  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
27.65630   16.42850   14.97790   2.982330   5.920460  2.073560   0.2235450   11.36040  105.7030
#S 68 Er3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
26.72200   19.77480   12.15060   5.173790   1.176130  1.846590   0.1372900   8.362250  17.89740
#S 69 Tm  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
28.18190   15.88510   15.15420   2.987060   6.756210  2.028590   0.2388490   10.99750  102.9610
#S 69 Tm3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
27.30830   19.33200   12.33390   5.383480   1.639290  1.787110   0.1369740   7.967780  17.29220
#S 70 Yb  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
28.66410   15.43450   15.30870   2.989630   7.566720  1.988900   0.2571190   10.66470  100.4170
#S 70 Yb2+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
28.12090   17.68170   13.33350   5.146570   3.709830  1.785030   0.1599700   8.183040  20.39000
#S 70 Yb3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
27.89170   18.76140   12.60720   5.476470   2.260010  1.732720   0.1387900   7.644120  16.81530
#S 71 Lu  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
28.94760   15.22080   15.10000   3.716010   7.976280  1.901820   9.985190   0.2610330  84.32980
#S 71 Lu3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
28.46280   18.12100   12.84290   5.594150   2.975730  1.682160   0.1422920   7.337270  16.35350
#S 72 Hf  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
29.14400   15.17260   14.75860   4.300130   8.581540  1.832620   9.599900   0.2751160  72.02900
#S 72 Hf4+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
28.81310   18.46010   12.72850   5.599270   2.396990  1.591360   0.1289030   6.762320  14.03660
#S 73 Ta  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
29.20240   15.22930   14.51350   4.764920   9.243540  1.773330   9.370460   0.2959770  63.36440
#S 73 Ta5+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
29.15870   18.84070   12.82680   5.386950   1.785550  1.507110   0.1167410   6.315240  12.42440
#S 74 W   
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
29.08180   15.43000   14.43270   5.119820   9.887500  1.720290   9.225900   0.3217030  57.05600
#S 74 W6+ 
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
29.49360   19.37630   13.05440   5.064120   1.010740  1.427550   0.1046210   5.936670  11.19720
#S 75 Re  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
28.76210   15.71890   14.55640   5.441740   10.47200  1.671910   9.092270   0.3505000  52.08610
#S 76 Os  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
28.18940   16.15500   14.93050   5.675890   11.00050  1.629030   8.979480   0.3826610  48.16470
#S 76 Os4+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
30.41900   15.26370   14.74580   5.067950   6.498040  1.371130   6.847060   0.1651910  18.00300
#S 77 Ir  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
27.30490   16.72960   15.61150   5.833770   11.47220  1.592790   8.865530   0.4179160  45.00110
#S 77 Ir3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
30.41560   15.86200   13.61450   5.820080   8.279030  1.343230   7.109090   0.2046330  20.32540
#S 77 Ir4+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
30.70580   15.55120   14.23260   5.536720   6.968240  1.309230   6.719830   0.1672520  17.49110
#S 78 Pt  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
27.00590   17.76390   15.71310   5.783700   11.68830  1.512930   8.811740   0.4245930  38.61030
#S 78 Pt2+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
29.84290   16.72240   13.21530   6.352340   9.853290  1.329270   7.389790   0.2632970  22.94260
#S 78 Pt4+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
30.96120   15.98290   13.73480   5.920340   7.395340  1.248130   6.608340   0.1686400  16.93920
#S 79 Au  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
16.88190   18.59130   25.55820   5.860000   12.06580  0.4611000   8.621600   1.482600  36.39560
#S 79 Au1+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
28.01090   17.82040   14.33590   6.580770   11.22990  1.353210   7.739500   0.3567520  26.40430
#S 79 Au3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
30.68860   16.90290   12.78010   6.523540   9.096800  1.219900   6.828720   0.2128670  18.65900
#S 80 Hg  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
20.68090   19.04170   21.65750   5.967600   12.60890  0.5450000   8.448400   1.572900  38.32460
#S 80 Hg1+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
25.08530   18.49730   16.88830   6.482160   12.02050  1.395070   7.651050   0.4433780  28.22620
#S 80 Hg2+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
29.56410   18.06000   12.83740   6.899120   10.62680  1.211520   7.056390   0.2847380  20.74820
#S 81 Tl  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
27.54460   19.15840   15.53800   5.525930   13.17460  0.6551500   8.707510   1.963470  45.81490
#S 81 Tl1+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
21.39850   20.47230   18.74780   6.828470   12.52580  1.471100   0.5173940   7.434630  28.84820
#S 81 Tl3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
30.86950   18.38410   11.93280   7.005740   9.802700  1.100800   6.538520   0.2190740  17.21140
#S 82 Pb  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
31.06170   13.06370   18.44200   5.969600   13.41180  0.6902000   2.357600   8.618000  47.25790
#S 82 Pb2+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
21.78860   19.56820   19.14060   7.011070   12.47340  1.336600   0.4883830   6.772700  23.81320
#S 82 Pb4+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
32.12440   18.80030   12.01750   6.968860   8.084280  1.005660   6.109260   0.1470410  14.71400
#S 83 Bi  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
33.36890   12.95100   16.58770   6.469200   13.57820  0.7040000   2.923800   8.793700  48.00930
#S 83 Bi3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
21.80530   19.50260   19.10530   7.102950   12.47110  1.235600   6.241490   0.4699990  20.31850
#S 83 Bi5+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
33.53640   25.09460   19.24970   6.915550   -6.799400  0.9165400   3.9042000E-02   5.714140  12.82850
#S 84 Po  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
34.67260   15.47330   13.11380   7.025880   13.67700  0.7009990   3.550780   9.556420  47.00450
#S 85 At  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
35.31630   19.02110   9.498870   7.425180   13.71080  0.6858700   3.974580   11.38240  45.47150
#S 86 Rn  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
35.56310   21.28160   8.003700   7.443300   13.69050  0.6631000   4.069100   14.04220  44.24730
#S 87 Fr  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
35.92990   23.05470   12.14390   2.112530   13.72470  0.6464530   4.176190   23.10520  150.6450
#S 88 Ra  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
35.76300   22.90640   12.47390   3.210970   13.62110  0.6163410   3.871350   19.98870  142.3250
#S 88 Ra2+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
35.21500   21.67000   7.913420   7.650780   13.54310  0.6049090   3.576700   12.60100  29.84360
#S 89 Ac  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
35.65970   23.10320   12.59770   4.086550   13.52660  0.5890920   3.651550   18.59900  117.0200
#S 89 Ac3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
35.17360   22.11120   8.192160   7.055450   13.46370  0.5796890   3.414370   12.91870  25.94430
#S 90 Th  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
35.56450   23.42190   12.74730   4.807030   13.43140  0.5633590   3.462040   17.83090  99.17220
#S 90 Th4+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
35.10070   22.44180   9.785540   5.294440   13.37600  0.5550540   3.244980   13.46610  23.95330
#S 91 Pa  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
35.88470   23.29480   14.18910   4.172870   13.42870  0.5477510   3.415190   16.92350  105.2510
#S 92 U   
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
36.02280   23.41280   14.94910   4.188000   13.39660  0.5293000   3.325300   16.09270  100.6130
#S 92 U3+ 
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
35.57470   22.52590   12.21650   5.370730   13.30920  0.5204800   3.122930   12.71480  26.33940
#S 92 U4+ 
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
35.37150   22.53260   12.02910   4.798400   13.26710  0.5165980   3.050530   12.57230  23.45820
#S 92 U6+ 
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
34.85090   22.75840   14.00990   1.214570   13.16650  0.5070790   2.890300   13.17670  25.20170
#S 93 Np  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
36.18740   23.59640   15.64020   4.185500   13.35730  0.5119290   3.253960   15.36220  97.49080
#S 93 Np3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
35.01360   22.72860   14.38840   1.756690   13.11300  0.4898100   2.810990   12.33000  22.65810
#S 93 Np4+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
36.52540   23.80830   16.77070   3.479470   13.38120  0.4993840   3.263710   14.94550  105.9800
#S 93 Np6+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
35.70740   22.61300   12.98980   5.432270   13.25440  0.5023220   3.038070   12.14490  25.49280
#S 94 Pu  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
35.51030   22.57870   12.77660   4.921590   13.21160  0.4986260   2.966270   11.94840  22.75020
#S 94 Pu3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
35.84000   22.71690   13.58070   5.660160   13.19910  0.4849380   2.961180   11.53310  24.39920
#S 94 Pu4+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
35.64930   22.64600   13.35950   5.188310   13.15550  0.4814220   2.890200   11.31600  21.83010
#S 94 Pu6+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
35.17360   22.71810   14.76350   2.286780   13.05820  0.4732040   2.738480   11.55300  20.93030
#S 95 Am  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
36.67060   24.09920   17.34150   3.493310   13.35920  0.4836290   3.206470   14.31360  102.2730
#S 96 Cm  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
36.64880   24.40960   17.39900   4.216650   13.28870  0.4651540   3.089970   13.43460  88.48340
#S 97 Bk  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
36.78810   24.77360   17.89190   4.232840   13.27540  0.4510180   3.046190   12.89460  86.00300
#S 98 Cf  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
36.91850   25.19950   18.33170   4.243910   13.26740  0.4375330   3.007750   12.40440  83.78810
